X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
76.96548,10.9721,Hindalco Industries Ltd,,,,,,-1,0,-1,,
76.9169167,11.0530142,Indian Aluminium Co Limited,,,,,,-1,0,-1,,
79.960126,12.949982,CMR Toyotsu Aluminium India Private Limited,,,,,,-1,0,-1,,
